2021-02-12 21:20:51,114423,108
2021-02-12 23:08:15,114441,108
2021-02-13 00:01:43,114447,108
2021-02-13 01:15:43,114462,108
2021-02-13 02:01:01,114467,108
2021-02-13 03:00:46,114472,108
2021-02-13 04:01:06,114476,108
2021-02-13 05:01:04,114474,108
2021-02-13 06:01:17,114478,108
2021-02-13 07:01:13,114481,108
2021-02-13 08:01:59,114483,108
2021-02-13 09:28:14,114493,108
2021-02-13 10:06:01,114497,108
2021-02-13 11:00:59,114505,108
2021-02-13 12:01:02,114514,108
2021-02-13 13:01:02,114516,108
2021-02-13 14:01:29,114523,108
2021-02-13 15:00:57,114535,108
2021-02-13 16:01:22,114552,108
2021-02-13 17:01:21,114567,108
2021-02-13 18:01:23,114586,108
2021-02-13 19:01:14,114602,108
2021-02-13 20:01:15,114615,108
2021-02-13 21:01:27,114635,108
2021-02-13 22:01:16,114648,108
2021-02-13 23:01:09,114666,108
2021-02-14 00:01:45,114693,108
2021-02-14 01:14:09,114707,108
2021-02-14 02:01:15,114713,108
2021-02-14 03:00:53,114722,108
2021-02-14 04:00:59,114724,108
2021-02-14 05:00:59,114729,108
2021-02-14 06:01:24,114732,108
2021-02-14 07:01:18,114732,108
2021-02-14 08:02:03,114738,108
2021-02-14 09:29:42,114753,108
2021-02-14 10:08:08,114765,108
2021-02-14 11:00:56,114773,108
